year,country,"Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Preprimary education, duration (years)","School enrollment, preprimary (% gross)","School enrollment, preprimary, male (% gross)","Trained teachers in preprimary education, female (% of female teachers)","Trained teachers in preprimary education, male (% of male teachers)",Trained teachers in preprimary education (% of total teachers),"Primary completion rate, total (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, private (% of total primary)","Persistence to last grade of primary, total (% of cohort)","Trained teachers in primary education, male (% of male teachers)",Trained teachers in primary education (% of total teachers),"Primary education, teachers","Lower secondary completion rate, female (% of relevant age group)","Lower secondary completion rate, male (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Secondary education, duration (years)","Secondary education, pupils","School enrollment, secondary (% gross)","School enrollment, secondary, private (% of total secondary)","Trained teachers in secondary education, female (% of female teachers)","Trained teachers in lower secondary education, female (% of female teachers)","Trained teachers in lower secondary education, male (% of male teachers)",Trained teachers in lower secondary education (% of total teachers),"Trained teachers in secondary education, male (% of male teachers)","Trained teachers in upper secondary education, female (% of female teachers)","Trained teachers in upper secondary education, male (% of male teachers)",Trained teachers in upper secondary education (% of total teachers),Trained teachers in secondary education (% of total teachers),"Secondary education, teachers","Secondary education, teachers, female","School enrollment, tertiary (% gross)","School enrollment, tertiary, male (% gross)","Tertiary education, academic staff (% female)","Government expenditure on education, total (% of government expenditure)","Government expenditure on education, total (% of GDP)",Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,"Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)"
2008,SSF,74.3850021362305,68.6080169677734,67.3152008056641,58.2856483459473,8.0,3.0,19.6668891906738,19.7401504516602,55.7841186523438,43.927131652832,53.3903617858887,64.008659362793,6.0,132408656.0,96.5451202392578,101.096969604492,10.2912197113037,60.5189514160156,69.0373916625977,72.1272125244141,3023661.75,33.4808006286621,41.2186088562012,37.3686599731445,6.0,40050120.0,35.3103294372559,18.2534503936768,69.827018737793,69.7995223999023,64.7160873413086,66.3223495483398,62.1947708129883,69.8677825927734,58.8866500854492,62.0731582641602,64.5230331420898,1668269.375,508914.6875,6.76526021957397,7.95094013214111,21.9518699645996,18.0316905975342,3.06307005882263,339138.0,164396.0,220849.0,263354.0,13.8,7.8,12.1,16.8
2008,TSS,74.3850021362305,68.6080169677734,67.3152008056641,58.2856483459473,8.0,3.0,19.6668891906738,19.7401504516602,55.7841186523438,43.927131652832,53.3903617858887,64.008659362793,6.0,132408656.0,96.5451202392578,101.096969604492,10.2912197113037,60.5189514160156,69.0373916625977,72.1272125244141,3023661.75,33.4808006286621,41.2186088562012,37.3686599731445,6.0,40050120.0,35.3103294372559,18.2534503936768,69.827018737793,69.7995223999023,64.7160873413086,66.3223495483398,62.1947708129883,69.8677825927734,58.8866500854492,62.0731582641602,64.5230331420898,1668269.375,508914.6875,6.76526021957397,7.95094013214111,21.9518699645996,18.0316905975342,3.06307005882263,339138.0,164396.0,220849.0,263354.0,13.7642395410207,7.80042326230706,12.1228486133475,16.749852046655
2009,AFW,70.6315078735352,62.6007881164551,61.3238487243652,50.8575706481934,9.0,3.0,23.9417095184326,24.6380596160889,44.4098205566406,42.7502784729004,43.9922218322754,63.819580078125,6.0,47810924.0,85.9604415893555,91.2495574951172,13.4309902191162,62.5627212524414,59.4384918212891,63.6878204345703,1162479.0,33.236141204834,41.661678314209,37.4985389709473,7.0,17515468.0,35.7537803649902,23.1810493469238,50.9288215637207,70.4574508666992,59.4900283813477,62.6723785400391,54.4039611816406,25.7474899291992,47.6913185119629,41.2183685302734,53.3883590698242,769724.4375,224949.546875,7.87613010406494,9.66977977752686,13.0728101730347,18.1756191253662,2.90790009498596,180315.0,83659.0,98445.0,121315.0,17.245373503179,9.62986520977652,13.056151297446,18.1399341108145
2009,HPC,71.3235626220703,64.9545516967773,64.0183868408203,54.1996803283691,9.0,3.0,17.0441093444824,17.012020111084,51.0703506469727,35.2141914367676,48.6155395507812,65.1247100830078,6.0,101631456.0,98.7490310668945,103.442077636719,11.0978603363037,53.4387283325195,71.0939331054688,73.5057525634766,2344712.0,28.431770324707,37.5300483703613,32.9996795654297,6.0,29274728.0,34.1266708374023,20.534969329834,63.0974884033203,61.3210906982422,61.394229888916,61.3729286193848,57.4446487426758,69.7726821899414,51.4082412719727,54.0369491577148,58.796630859375,1262157.625,301866.21875,6.52301979064941,7.88182020187378,21.5953006744385,17.9289798736572,3.13160502910614,248294.0,124382.0,180027.0,202615.0,13.2736717011979,7.77469239267913,13.1871467168137,17.4532860486317
2009,IDX,72.0886306762695,68.4596862792969,65.625862121582,57.6564483642578,9.0,3.0,15.8067302703857,15.8331804275513,59.9412307739258,53.0373497009277,58.5182800292969,68.1138381958008,6.0,136334176.0,99.8200225830078,103.433486938477,13.2238101959229,57.9386405944824,71.1430511474609,74.4675598144531,3325904.25,38.1455688476562,43.5812492370605,40.8849716186523,6.0,53020456.0,40.7782516479492,31.6255702972412,70.0936584472656,74.3518600463867,64.8509674072266,68.102912902832,58.363208770752,61.0002708435059,48.4013404846191,51.8319511413574,62.0741004943848,2234597.75,706907.9375,8.48649024963379,10.0173101425171,25.91868019104,16.3016891479492,3.1739399433136,282899.0,147966.0,214572.0,241188.0,10.9422399057397,6.46634034424008,10.5966664525968,13.6208621988518
2009,LDC,70.159797668457,66.2504196166992,63.4215698242188,54.7659492492676,8.0,3.0,14.6772699356079,14.7796297073364,63.8763389587402,54.8351097106934,61.4717788696289,65.527587890625,6.0,127019648.0,100.761001586914,104.646629333496,13.271430015564,54.6244201660156,71.120849609375,73.9328384399414,2948807.0,34.3708114624023,40.1599998474121,37.2864189147949,6.0,42780928.0,36.9154815673828,36.297981262207,69.9260864257812,70.6971588134766,63.2972412109375,65.5102996826172,57.4661102294922,67.4047012329102,49.2393417358398,52.0634498596191,60.5297393798828,1682118.5,413595.21875,7.2039098739624,8.90472030639648,21.7293796539307,14.0298700332642,2.92000007629395,276654.0,141909.0,206271.0,230507.0,11.7104285785277,6.83565629607474,11.3396996020325,14.6368653640452
2009,PRE,71.5965728759766,64.5926284790039,64.8280410766602,54.5551414489746,8.0,3.0,20.2829895019531,20.7065601348877,59.0506591796875,52.2094917297363,57.5494003295898,67.1272277832031,6.0,115521160.0,96.1250991821289,101.665023803711,9.20501041412354,58.2960205078125,69.4463729858398,71.9454727172852,2852645.25,31.3562908172607,40.5582504272461,35.9781799316406,6.0,34626028.0,35.1186904907227,19.1451606750488,60.0782890319824,64.1215209960938,62.6185913085938,63.1450004577637,56.3857116699219,52.233829498291,48.7153282165527,49.6118698120117,57.532901763916,1577510.25,490093.3125,6.73430013656616,8.36466979980469,17.5863800048828,16.3016891479492,3.00463509559632,306585.0,146911.0,198723.0,234050.0,13.9755959736575,7.95974298826091,12.6526939772386,17.3217297471142
2009,SSA,74.7679061889648,69.0257568359375,67.7190399169922,58.7520408630371,8.0,3.0,21.0249099731445,21.3594093322754,52.7634887695312,48.1467018127441,51.7967300415039,67.2805786132812,6.0,136472352.0,96.9591903686523,101.112777709961,10.8037700653076,56.3557205200195,69.6994400024414,72.9324493408203,3162768.25,34.8633193969727,42.3356094360352,38.6165809631348,6.0,43098420.0,37.0979995727539,19.5713996887207,68.838020324707,66.0654983520508,63.0993995666504,64.0844497680664,60.4947090148926,73.7739028930664,56.8440208435059,61.6068992614746,63.0966415405273,1830891.5,570978.4375,7.18492984771729,8.40832042694092,20.7295303344727,17.6823406219482,3.13160502910614,352706.0,172204.0,237069.0,288930.0,13.8621151003527,7.9493965389153,12.6360933168829,17.63339138499
2009,SSF,74.7702178955078,69.0284576416016,67.7229690551758,58.7571105957031,8.0,3.0,21.0285396575928,21.363000869751,52.7888984680176,48.1467018127441,51.8172416687012,67.284309387207,6.0,136480976.0,96.9606628417969,101.11408996582,10.8036003112793,56.357608795166,69.6999130249023,72.9376678466797,3163392.25,34.8687896728516,42.3406982421875,38.6218681335449,6.0,43106244.0,37.1016502380371,19.569019317627,68.8503723144531,66.0646133422852,63.099681854248,64.0845413208008,60.5022201538086,73.8082885742188,56.8613586425781,61.6314315795898,63.1064605712891,1831487.5,571340.4375,7.18424987792969,8.40744018554688,20.7295303344727,17.6823406219482,3.13160502910614,352708.0,172206.0,237074.0,288936.0,13.9,8.0,12.7,17.9
2009,TSS,74.7702178955078,69.0284576416016,67.7229690551758,58.7571105957031,8.0,3.0,21.0285396575928,21.363000869751,52.7888984680176,48.1467018127441,51.8172416687012,67.284309387207,6.0,136480976.0,96.9606628417969,101.11408996582,10.8036003112793,56.357608795166,69.6999130249023,72.9376678466797,3163392.25,34.8687896728516,42.3406982421875,38.6218681335449,6.0,43106244.0,37.1016502380371,19.569019317627,68.8503723144531,66.0646133422852,63.099681854248,64.0845413208008,60.5022201538086,73.8082885742188,56.8613586425781,61.6314315795898,63.1064605712891,1831487.5,571340.4375,7.18424987792969,8.40744018554688,20.7295303344727,17.6823406219482,3.13160502910614,352708.0,172206.0,237074.0,288936.0,13.8614721482509,7.94898287843577,12.6353813546077,17.6320791567747
