year,country,Access to electricity (% of population),Electricity production from coal sources (% of total),Electricity production from oil sources (% of total),GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),Alternative and nuclear energy (% of total energy use),Combustible renewables and waste (% of total energy),Energy use (kg of oil equivalent per capita),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: natural resources depletion (% of GNI),Mineral rents (% of GDP),Oil rents (% of GDP),Total natural resources rents (% of GDP)
1990,ALB,100.0,0.0,13.5922330097087,3.13415751117539,6.55612514092726,9.16,13.5801145450809,813.373801291643,0.774943320972577,3.30425861570949,5.54585541952003,1.48916309567935,4.8458773941323,8.22402989872863
1990,ARG,92.1548004150391,2.077860979339,11.981024816717,5.29663316302332,12.5841666147461,8.6,3.59436641603576,1351.48277612519,0.0271452330094121,2.04830092763689,2.0754461606463,0.0601098558208693,2.18272104761879,2.54133379153863
1990,AUS,100.0,78.3632974022539,2.29133203026726,3.44343681278787,7.17271504658756,1.51,4.59939702494225,5047.63880316716,0.536031356915011,1.11268477697549,1.84869074344325,1.50973725272876,1.18927836382777,3.49861736214292
1990,AUT,100.0,13.9300910645405,3.73802043981389,5.98155951345957,13.3656945339538,10.96,10.0600577537479,3240.45366951149,0.0019178942718342,0.0783996924634796,0.13667110839872,0.0039744452583077,0.0765118886958938,0.258750692924662
1990,BEL,100.0,27.9951496693597,1.85271350619686,3.88717038169415,8.67098895620042,23.3,1.57592165680261,4804.34618527299,0.0,0.0001852370641182,0.0431792134074556,0.0,0.0,0.0455475342819501
1990,BGR,100.0,50.2598419591372,2.91877269167794,2.34555683775941,4.64881659647058,14.12,0.614863167396922,3216.95690387597,0.225902244079872,0.183481617499321,0.409383861579193,0.382672578019077,0.105709691779651,1.11438192336028
1990,BHR,99.9413986206055,0.0,0.0,2.54365651839636,3.95763996304425,0.0,0.0,10576.1375209895,0.0,35.9162647156486,35.9174849684447,0.0,37.0437374677071,40.8740682384437
1990,BRA,87.475116,2.13355114643593,2.21567985064244,7.09731614186678,13.406620079749,13.07,34.0622534685623,942.317182249676,0.283980100540073,0.759480378457103,1.04346047899718,0.768736210537957,1.03088670277662,2.68167389862843
1990,BRN,100.0,0.0,0.938566552901024,10.3752051430633,17.4638108209477,0.0,0.129976078870591,6766.20265813163,0.0,25.7624545567003,25.8596155991875,0.0,30.6838382585785,38.9442334526855
1990,CAN,100.0,17.0379073752878,3.41255483649038,2.64815585351448,5.29244749309545,21.23,5.2654594625538,7639.18628177217,0.433064460514484,0.809047584528494,1.24211204504298,0.549339394031579,1.48748684267335,2.75149660597247
1990,CHL,92.257427,35.5160026126715,9.62333986501197,4.22573198652454,10.6125890465995,5.48,22.3657292490659,1042.63924696805,5.77218046109425,0.230892923591657,6.00307338468591,9.54796165008491,0.378183852893491,11.1674175940099
1990,COL,89.9,10.1988612921858,1.04244024534478,6.79947441117508,13.3061399263893,9.7,22.6469242443988,751.443375175586,0.151694932206045,5.18865634601409,5.34035127822014,0.226326363568747,5.85725180474062,6.90290637643892
1990,CYP,100.0,0.0,100.0,5.63823358288529,11.6952174869062,0.0,0.445674692292962,1740.28410545305,0.0066151012901897,0.0,0.0128421469536814,0.011808044392088,0.0,0.0303952864480007
1990,DEU,100.0,58.4785869476287,1.89031208239775,4.41476936081928,9.58297074560256,11.77,1.36582173404891,4421.75298411525,0.000255233322264,0.096988312184379,0.0972435455066431,0.000270542418556,0.022824397451738,0.23086703036565
1990,DNK,100.0,90.6704641675006,3.39465784004311,5.39992685974698,13.5746322540035,0.34,6.56835649320623,3375.49333145812,0.0049027740301965,0.417847968961894,0.422750742992091,0.0085797426904328,0.479073854272228,0.55047686901933
1990,ECS,100.0,31.8968933807286,10.0761934924511,3.1845540909155,7.59388940317795,10.4747006452125,2.33667707613467,3748.9876163951,0.0102486108022035,0.709816128409566,0.327689970266749,0.0205727282909648,0.955488258440783,1.34255430488771
1990,EMU,100.0,33.4665090577968,9.60991804715823,4.86662872594113,10.8360940884531,16.4605784076293,3.23220918951146,3494.77662134082,0.0048475656558463,0.0685226560272801,0.0952769292458155,0.0089945547497121,0.0335910841234193,0.179034162571141
1990,ESP,100.0,39.9300961671373,5.6633952726052,5.89590760542333,13.7073492488608,18.15,4.51468256051257,2317.97017574877,0.0234240019349286,0.0201389270292438,0.0435629289641724,0.0348207462770827,0.0167206636998013,0.122231621587361
1990,EUU,100.0,37.1035226891998,8.29290405752521,4.36865445366843,9.75514106941024,15.1299991241362,3.28222014339255,3426.51135871146,0.0116037777562906,0.0910894537818436,0.122826011759852,0.0238128130425292,0.0553110462292757,0.2690672480481
1990,FIN,100.0,23.5614322231826,3.08770252128657,3.18622041680818,6.81441267146558,20.93,16.0797676585166,5691.62343795639,0.0220661986122103,0.0,0.0220661986122103,0.0366010629287389,0.0,0.475620342660453
1990,FRA,100.0,8.41899365658073,2.06012582263619,4.54946793274783,10.0656403870112,38.68,4.91081512579566,3840.38016522288,0.0004742389073278,0.0266584787979241,0.0956127530436818,0.0020919241517217,0.0266357974593468,0.108864561864417
1990,GBR,100.0,64.564939309495,10.8451633686436,4.74090007272822,9.53713309225924,8.54,0.304598776965684,3597.3010525851,0.0001734526438159,0.874120863368024,0.87429431601184,0.0003491705424513,0.882565641379211,1.00627920664815
1990,IRL,100.0,56.238374095763,9.83809851877368,4.86918461026698,10.4922766618288,0.61,1.08683341084953,2820.54349821097,0.106051723897458,0.0562922766349484,0.162344000532406,0.155316915367796,0.0,0.287358128232744
