year,country,"Access to electricity, urban (% of urban population)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population)
1990,ARE,100.0,26.7279639538158,31.5015974015069,54.4101842779025,5.69520026836375,1500562.0,79.051
1990,ARG,94.1390151977539,11.9691674979629,39.1247095321197,43.3216140200204,1.91900296581223,28492393.0,86.984
1990,AUS,100.0,2.22135662496908,24.9117049977396,61.1992303837393,1.44494161541517,14579251.0,85.433
1990,AUT,100.0,93.0422927775085,31.8393520527831,20.0460545595447,0.332494357748522,4833974.0,62.96
1990,BGR,100.0,78.8058302449607,20.5763703401747,13.65797807345,-1.28716661945731,5786939.0,66.377
1990,BRA,97.538681,17.8440685367797,13.4021646308492,36.0070976875698,2.8510094875306,110249653.0,73.922
1990,CAN,100.0,3.08860186557717,17.9519020342276,39.7454701933882,1.53377878295106,21206427.0,76.582
1990,CHE,100.0,169.887250637313,20.2609721191295,14.9781275281925,0.945758640258411,4964515.0,73.926
1990,CHL,98.846714,18.0720883566545,41.2530807413638,34.3518533953861,1.82105796800919,11189271.0,83.271
1990,COL,97.9,29.2384578639027,21.0315637078142,33.5028479748301,2.75051493598735,22539684.0,69.481
1990,DEU,100.0,227.517053819494,5.89130734894217,9.10016663219528,1.05636514177316,58079842.0,73.118
1990,DNK,100.0,128.523475,23.7357817213228,20.1381498593934,0.24028513385848,4361727.0,84.843
1990,ECS,100.0,154.202912697781,15.1077830776583,17.5029264950903,0.737488172440067,569759062.0,67.5617149596775
1990,EMU,100.0,131.158284805678,16.0159159773598,18.3961670376245,0.676292914357802,224152763.0,70.9148936965099
1990,ESP,100.0,77.8218044209515,15.0711327884438,21.9070354268298,0.40087871221168,29286916.0,75.351
1990,EUU,100.0,117.025569636408,15.7841101878615,16.1246700403698,0.585935020333793,291714394.0,69.3690920054438
1990,FIN,100.0,16.3709609639187,22.0153169322371,17.472897950458,1.2987819794263,3957581.0,79.367
1990,FRA,100.0,106.399981006856,21.6251232015186,22.4808625020108,0.690466474073109,43145775.0,74.056
1990,GBR,100.0,236.628719050965,15.1886971628093,25.5460011885916,0.234964714351841,44733264.0,78.14
1990,GRC,100.0,79.1062218774244,42.123004810671,30.1040464491185,1.32121233166716,7287341.0,71.467
1990,HKG,100.0,5762.12121212121,100.0,100.0,0.747269786451113,5676947.0,99.517
1990,HUN,100.0,115.433270279292,29.3587169360702,19.3291914353477,-0.990578862198139,6830026.0,65.838
1990,IRL,100.0,51.0084772826245,45.8085349942763,26.0783375175798,0.304190815267071,2000470.0,56.929
1990,ISR,100.0,215.341959334566,42.0622652277076,52.1671459227468,3.20975379272213,4210729.0,90.359
1990,ITA,100.0,192.850430111183,9.81261929775239,18.9689512764981,0.0537393805274748,37846480.0,66.726
1990,JOR,99.2347668628339,41.0461015412511,32.0768662510506,23.5094596549664,9.46050689796252,2654533.0,73.291
1990,JPN,100.0,338.667032364235,34.0640252825623,58.2484466868592,0.494834367912387,95496650.0,77.339
1990,KOR,99.8951034545898,444.425492432096,33.2241421187815,52.2886375309799,3.3086487267101,31656393.0,73.844
1990,KWT,100.0,94.5465207631874,84.3202670406528,82.6119600977909,-27.4564857087703,1650685.0,97.974
1990,NAC,100.0,15.3036003986625,9.5101180247622,41.9098621650512,1.4327535286599,209230105.0,75.4331128828764
1990,NGA,82.4,106.636060695895,16.527361147118,12.4571074667998,5.56696586727896,28825491.0,29.68
1990,NLD,100.0,442.876481042654,9.26522219879748,12.6208724068673,1.25510546084429,10269295.0,68.684
1990,NOR,100.0,11.6127109548685,22.4124621476975,16.1271096149852,0.522200916898825,3051994.0,71.956
1990,NZL,100.0,12.6459306520831,30.8207456465676,26.1181152021142,1.20209777275256,2821739.0,84.742
1990,OED,99.9110999874308,31.5031768778742,18.7990588922416,33.3212795179247,1.28557433776102,808815885.0,73.0178891903444
1990,OMN,100.0,5.69936672051696,30.2884454579682,20.02127039594,7.76253389400156,1166009.0,66.102
1990,PAN,95.56,33.0317863868711,64.1143730928437,34.5595730219667,2.88653761191024,1323633.0,53.903
1990,POL,100.0,124.427118090698,6.97331823128573,4.27255205626586,0.465870592820303,23350476.0,61.27
1990,PRI,100.0,398.759864712514,70.7787010788904,65.7831495617755,2.00145645456832,3287359.0,92.942
1990,PRT,100.0,109.106207650273,53.0424322650199,37.0730159353427,0.881671075947156,4783459.0,47.915
1990,PST,99.995223547261,31.861569793968,18.3717072990413,33.2982274619321,0.946386980638152,714206473.0,74.0592585969535
1990,ROU,100.0,101.163440156965,16.5180770792304,8.79042541247276,1.52303336522846,12347321.0,53.217
1990,SAU,100.0,4.94987230716987,28.5342301348884,55.0902756221377,5.79058111449853,8148960.0,76.583
1990,SGP,100.0,4547.95820895522,98.8783223043833,98.8783223043833,3.88909360745296,3047132.0,100.0
1990,SWE,100.0,21.0115414726333,14.5979439828401,12.130891645884,0.772605482754793,7112392.0,83.1
1990,TEC,100.0,298.614665003811,13.7876287157493,15.9232244001158,0.954639415184971,269033746.0,62.7093798549351
1990,USA,100.0,27.2545136128993,8.55771193530894,42.1499621429115,1.41025628541903,187966119.0,75.3
1990,ZMB,34.7,10.4738683598111,24.6857865082117,9.7279291009481,2.43781470777835,3068296.0,39.407
1991,ARE,100.0,28.2543790481554,31.8158105482812,54.3107185893136,5.37018878886302,1583348.0,78.906
1991,ARG,94.4131164550781,12.1425130358206,38.8592287952959,43.2370294406664,1.83257439525112,29019351.0,87.328
