year,country,"Net bilateral aid flows from DAC donors, Australia (current US$)","Net bilateral aid flows from DAC donors, Austria (current US$)","Net bilateral aid flows from DAC donors, Belgium (current US$)","Net bilateral aid flows from DAC donors, Canada (current US$)","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Net bilateral aid flows from DAC donors, Switzerland (current US$)","Net bilateral aid flows from DAC donors, Czechia (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, Denmark (current US$)","Net bilateral aid flows from DAC donors, Spain (current US$)","Net bilateral aid flows from DAC donors, Finland (current US$)","Net bilateral aid flows from DAC donors, France (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Greece (current US$)","Net bilateral aid flows from DAC donors, Hungary (current US$)","Net bilateral aid flows from DAC donors, Ireland (current US$)","Net bilateral aid flows from DAC donors, Iceland (current US$)","Net bilateral aid flows from DAC donors, Italy (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","Net bilateral aid flows from DAC donors, Netherlands (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, New Zealand (current US$)","Net bilateral aid flows from DAC donors, Poland (current US$)","Net bilateral aid flows from DAC donors, Portugal (current US$)","Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","Net bilateral aid flows from DAC donors, Slovenia (current US$)","Net bilateral aid flows from DAC donors, Sweden (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)","Net bilateral aid flows from DAC donors, United States (current US$)","Net official flows from UN agencies, FAO (current US$)","Net official flows from UN agencies, IAEA (current US$)","Net official flows from UN agencies, IFAD (current US$)","Net official flows from UN agencies, ILO (current US$)","Net official flows from UN agencies, UNAIDS (current US$)","Net official flows from UN agencies, UNICEF (current US$)","Net official flows from UN agencies, UNHCR (current US$)","Net official flows from UN agencies, UNDP (current US$)","Net official flows from UN agencies, UNECE (current US$)","Net official flows from UN agencies, UNEP (current US$)","Net official flows from UN agencies, UNFPA (current US$)","Net official flows from UN agencies, UNPBF (current US$)","Net official flows from UN agencies, UNRWA (current US$)","Net official flows from UN agencies, UNTA (current US$)","Net official flows from UN agencies, UNWTO (current US$)","Net official flows from UN agencies, WFP (current US$)","Net official flows from UN agencies, WHO (current US$)",Net official development assistance and official aid received (current US$),Net official development assistance and official aid received (constant 2021 US$),Net ODA received (% of gross capital formation),Net official development assistance received (constant 2021 US$),"Net ODA received (% of imports of goods, services and primary income)"
2016,SAS,164639996.528625,13750000.089407,11629999.8909235,209690002.866089,1116579994.6785,151080001.831055,3149999.9333173,973150009.719655,77920000.2271682,3760000.01654029,64470000.8332729,203629994.172603,1492549987.33103,0.0,3660000.00014901,6269999.85799193,579999.983310699,62780000.4575402,2052269997.00069,129350000.314415,10589999.8731911,108850000.835955,157429999.679327,7469999.99135733,649999.983608723,1110000.01430511,330000.001937151,89999.9979883432,158330001.240596,9749390002.0197,2562190014.67526,0.0,2290232.17409849,124939059.376717,6714979.97333063,2706411.28160059,171207560.896873,63225826.2634277,34790029.1979313,0.0,0.0,30414829.2541504,3776275.99239349,0.0,0.0,0.0,17467469.8412418,52595401.8831253,13996790145.874,14921130472.1832,1.60624418133707,15716150127.4109,2.08368520322219
2016,SSA,76089999.7204542,58269999.1781265,447569997.895509,955070006.359369,4846030022.21882,531490004.755557,6079999.99076128,2711330011.40505,447319997.385144,59310000.9225309,183680000.057444,1496899997.11886,3698250019.26906,179999.997839332,3900000.10095537,250819999.640808,14540000.0736117,305629999.561235,1378549985.46466,399219998.678193,121840001.150966,660139993.652701,619659993.33933,8109999.87833202,80080000.6594509,63470002.1985918,2439999.88399446,469999.995082617,827320000.186563,30132399984.1884,9878559953.45116,0.0,20699881.2267557,226427127.730101,38176009.7984225,38069409.6325897,540600756.704807,92235422.1642017,217715682.446957,0.0,73397422.7905273,118845194.786787,34321186.7269129,0.0,0.0,835016.939789057,158228002.782911,107726943.105459,44302510124.2065,47486430194.8547,12.2783402914302,50518070267.2005,9.94278047138797
2016,SSF,76359999.7311831,58269999.1781265,446259997.952729,955070006.359369,4852560022.42863,531490004.755557,6079999.99076128,2711340011.40483,447319997.385144,59310000.9225309,183680000.057444,1487699997.3096,3698420019.27085,179999.997839332,3900000.10095537,250819999.640808,14540000.0736117,305629999.561235,1379529985.48374,399229998.677969,121840001.150966,660139993.652701,619659993.33933,8219999.87773597,80080000.6594509,63470002.1985918,2439999.88399446,469999.995082617,827320000.186563,30129969984.6767,9878559953.45116,0.0,20892116.4432541,227140487.741679,38297799.7977287,38069409.6325897,540600756.704807,92235422.1642017,217801012.925804,0.0,73397422.7905273,118845194.786787,34321186.7269129,0.0,0.0,835016.939789057,158228002.782911,108398336.917162,44315230124.4736,47499980194.5686,12.2647636862163,50524560266.9716,9.9058256335942
2017,EAP,1342999977.72276,25430000.1692027,15340000.1749396,65460000.3454834,556680006.295443,168819998.767227,4129999.99336898,984950007.384643,42560000.4866719,-52629999.9132752,37079999.5809793,515600003.181025,304510002.26289,0.0,8680000.20831823,14880000.2224743,0.0,4149999.79361892,187110023.833811,505739996.677265,35340000.2345443,-5600000.28088689,102150000.90003,279800002.18749,-13899999.9277294,15909999.5791912,200000.001117587,0.0,93490000.4044175,6591090037.16893,1351980016.88719,10228988.1706238,5170950.32334328,74144595.7571268,23925849.8698473,3941199.99557734,64380410.6712341,17494510.3526115,29783422.417564,0.0,0.0,18326535.9997749,7667553.00760269,0.0,0.0,0.0,4939709.94651318,58063392.3448622,8414689969.53964,8666000048.16055,0.138315683487781,9304700106.14395,0.227880782049064
2017,EAS,1364349978.10423,25430000.1692027,15340000.1749396,65470000.3452599,556950006.306171,168819998.767227,4129999.99336898,984950007.384643,42560000.4866719,-52629999.9132752,37079999.5809793,515600003.181025,304510002.26289,0.0,8680000.20831823,14880000.2224743,0.0,4149999.79361892,187550023.831427,505879996.677861,35340000.2345443,-5600000.28088689,102150000.90003,281410002.201796,-13899999.9277294,15909999.5791912,200000.001117587,0.0,93490000.4044175,6614910037.57343,1351980016.88719,10228988.1706238,5170950.32334328,74144595.7571268,23925849.8698473,3941199.99557734,64380410.6712341,17494510.3526115,29839414.5961829,0.0,0.0,18326535.9997749,7667553.00760269,0.0,0.0,0.0,4939709.94651318,58135440.3011501,8414689969.53964,8666000048.16055,0.0989225936843692,9333030106.06766,0.11240308622687
2017,ECA,1260000.01654029,146340001.046658,10079999.8790026,39869998.767972,3492989906.66866,234620000.109077,20960000.0437349,1269970024.85394,44129999.3600696,56449997.4828213,28480000.0414252,508750009.192154,239520002.33531,14370000.3083795,11349999.7872859,15090000.3593415,629999.995231628,97009999.2249161,351149994.488806,80760000.7113069,11080000.1565367,11190000.0795722,61550000.410527,9999.99977648258,124679997.993633,12269999.8468161,5529999.89874661,18309999.7360259,148259998.874739,7821679921.519,756669989.943504,8355035.78186035,5986578.69081944,29889998.793602,3186279.9753435,1665599.98062439,25133929.9082756,36064630.0911903,12513175.200671,1039139.96799383,0.0,8720026.07584,2130477.94043086,0.0,0.0,0.0,2220699.93708283,10028246.6560602,9776500093.93692,10275830095.2911,2.320445089874,10902060050.9644,1.67751797117166
2017,ECS,1260000.01654029,146340001.046658,10079999.8790026,39869998.767972,3492989906.66866,234620000.109077,20960000.0437349,1269970024.85394,44129999.3600696,56449997.4828213,28480000.0414252,508750009.192154,239520002.33531,14370000.3083795,11349999.7872859,15090000.3593415,629999.995231628,97009999.2249161,351149994.488806,80760000.7113069,11080000.1565367,11190000.0795722,61550000.410527,9999.99977648258,124679997.993633,12269999.8468161,5529999.89874661,18309999.7360259,148259998.874739,7821679921.519,756669989.943504,8355035.78186035,5986578.69081944,29889998.793602,3186279.9753435,1665599.98062439,25133929.9082756,36064630.0911903,12513175.200671,1039139.96799383,0.0,8720026.07584,2130477.94043086,0.0,0.0,0.0,2220699.93708283,10028246.6560602,9776500093.93692,10275830095.2911,0.206351320324319,10902060050.9644,0.0895578643773612
2017,LAC,10959999.9729544,28009999.98115,66500000.6426126,365050006.464124,803179999.528453,194610000.275075,850000.005215406,990219997.925684,48410000.9091198,155360001.381487,7550000.07152557,651649993.533269,383470004.653558,109999.999403954,1019999.97533858,9840000.07249415,0.0,105579999.36305,-350119988.650084,176740002.362058,23060000.1905113,6930000.10214746,165789996.860549,4100000.02197921,299999.997019768,5839999.98308718,470000.011846423,0.0,114710000.129417,5913680001.44139,1943439985.67946,34627318.3822632,14197080.4594457,30355288.7290716,32186030.5881128,8083199.99318337,32027009.3753934,22078809.6189499,11723474.7800976,0.0,0.0,17866113.1188273,3424531.10218048,0.0,0.0,443918.377161026,13145370.2312429,37128139.3039972,8286339973.68813,8648330025.67291,0.885723585099292,9153519984.36451,0.656959432470966
2017,LCN,12009999.9736995,28789999.9879301,66700000.6455928,370290006.585419,826019999.204203,195830000.266433,1039999.99910593,1048619996.2981,52990000.8328259,194800001.019612,7640000.07510185,665599993.336946,391590004.54843,129999.998956919,1039999.97489154,9860000.07204711,0.0,107349999.373779,-347189988.642931,176690002.368763,23200000.1892447,6930000.10214746,170229997.029528,5210000.00275671,309999.99679625,6269999.98651445,470000.011846423,0.0,114830000.128597,6117820000.22567,1980519986.86045,34627318.3822632,15351257.0001185,28460884.2879534,35551080.5537924,8725499.97776514,38520009.405911,36328409.5525742,12853995.5485612,0.0,0.0,19369147.9191184,3424531.10218048,0.0,0.0,443918.377161026,13502670.2445466,40156249.0928918,8494269969.34414,8868480022.37082,0.773038833761021,9492899983.52528,0.556270253023058
2017,LMY,2383330078.125,599670043.945313,1295020019.53125,3098699951.17188,15991049804.6875,2337679931.64063,80400001.5258789,19759830078.125,1716309936.52344,644190002.441406,597869995.117188,6544449707.03125,11097379882.8125,84620002.746582,39299999.2370605,492630004.882813,54110000.6103516,2975179931.64063,8070989746.09375,1614939941.40625,303899993.896484,3533760009.76563,3123310058.59375,336880004.882813,222099990.844727,114040000.915527,35369998.9318848,24909999.8474121,3826119873.04688,120903670552.44,29894351562.5,436115753.173828,74976112.3657227,548682128.90625,265967468.261719,164482971.191406,1511022460.9375,507315856.933594,345007873.535156,14342929.8400879,0.0,213596160.888672,54115867.6147461,892903869.628906,0.0,12698455.8105469,285200958.251953,525309692.382813,164284218750.0,170794234375.0,1.76305713107913,181376750000.0,2.27028199930711
