year,country,Trade in services (% of GDP),"Imports of goods and services (BoP, current US$)","Goods imports (BoP, current US$)","Imports of goods, services and primary income (BoP, current US$)","Travel services (% of service imports, BoP)","ICT service exports (BoP, current US$)","Communications, computer, etc. (% of service exports, BoP)","Exports of goods and services (BoP, current US$)","Goods exports (BoP, current US$)","Service exports (BoP, current US$)","Exports of goods, services and primary income (BoP, current US$)","Travel services (% of service exports, BoP)","Energy imports, net (% of energy use)",Average time to clear exports through customs (days),Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Arms imports (SIPRI trend indicator values),Arms exports (SIPRI trend indicator values),Exports of goods and services (current US$),Exports of goods and services (constant 2015 US$),Imports of goods and services (current US$),Imports of goods and services (constant 2015 US$),Trade (% of GDP),Merchandise trade (% of GDP),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Insurance and financial services (% of commercial service imports),Manufactures imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports by the reporting economy (current US$),Commercial service imports (current US$),Agricultural raw materials exports (% of merchandise exports),Food exports (% of merchandise exports),Fuel exports (% of merchandise exports),ICT goods exports (% of total goods exports),Insurance and financial services (% of commercial service exports),Manufactures exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports (current US$),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports by the reporting economy (current US$),Commercial service exports (current US$)
2007,BGR,26.9323923542119,35243220018.6687,30040951021.3292,39908630585.4385,36.1323440858876,283790610.770355,20.2547991484231,26298044351.4027,19533494152.4806,6764550198.92213,27487439318.7671,54.8823088157384,51.98949515202,2.4,2.47,48000000.0,9000000.0,23262813855.8432,23352044046.229,31626174947.5157,29359323362.4305,123.532557660753,109.106306991561,5.77074166880321,19.6905110860309,5.77825169634181,61.9397550123469,8.8073639780347,0.499019515803556,3.27412287101294,0.0515580864304535,30085255435.0,5193028737.87184,1.67812325754495,8.64151957315366,14.6037717311894,1.92,1.26409197505024,55.4622984760172,17.7706799962176,3.09639580607329,18518000000.0,1.03574984231181,22.4186358248662,0.609289783244552,0.0213898740861762,18507238444.0,6761485336.57405
2007,ZAF,9.21041370488051,97315205908.8365,81261994580.2261,114040324184.299,24.4623386657534,349917312.597514,14.3674866060984,93316159614.4785,78691590487.7347,14624569126.7438,100197537148.976,60.0275921002157,-14.4561718431196,4.4,3.42,914000000.0,137000000.0,93124912619.8572,91728013646.3097,97145854047.3063,85065054098.9906,57.125139137747,47.5067159535559,5.16879967398032,18.5886766908891,4.03014882683465,64.6984754344004,3.29527139177005,6.2391186196133,14.3898337544775,0.0980724980580293,90697176845.0,15697817489.2,2.12378622536027,6.58148755599139,10.5565719826577,1.32,7.01938494005916,50.711826121429,29.3348942321308,2.98536059323424,69784000000.0,8.61730750729665,0.627900652499923,1.57707833224117,0.0618551787287892,63431099556.0,14303802088.2652
2012,RUS,7.75560611944932,444697740000.0,335771210000.0,560117020000.0,39.2904281445484,3493560000.0,49.2037057415124,589773980000.0,527433960000.0,62340020000.0,637532440000.0,17.2583518580841,-80.1643740294964,5.5,2.45,121000000.0,8275000000.0,594192620575.645,359196416166.964,447048493877.933,391281289170.682,47.1513903857957,39.1570223298132,12.3486035613666,1.28171276735379,3.8494029197462,82.7851521453299,2.18907966626326,0.52039691494774,18.8234670952874,0.0002608910126374,316709645015.0,106716810000.0,1.78486976073255,3.16456673706393,70.2890584289155,0.31,2.84217958896799,16.222354633621,5.13944663103542,2.37378609701786,529256000000.0,8.28005913545699,20.7403762276201,0.831992908255681,0.370982769909842,523988578357.0,61464800000.0
2014,IND,11.6870988479829,553552854081.367,472434264990.841,591134073843.447,17.9921577716076,74792869586.8778,68.385190992562,485583046457.597,328386908293.941,157196138163.656,498219673269.87,12.5322115346075,36.5659410033126,5.8,2.877227,3201000000.0,40000000.0,468345815420.933,441732988212.788,529239428328.665,493996613075.926,48.9221857470669,38.5264969108603,4.15851458783714,38.5148387122449,6.57762465753822,40.5309727659451,5.94358526486559,25.4514116050353,20.9898774790637,2.91028778901625,453526992032.0,80160943501.3086,2.17094784216849,11.3379606823476,19.6340746160473,0.97,5.06090378757499,62.6143035432105,3.16343902186514,19.748110990446,322694000000.0,11.1321050551687,2.23961542550064,4.34883935808964,0.0755703167723407,314637392240.0,156614386265.659
2014,SWE,26.2350211144663,237547594509.485,161382541690.335,290967644318.119,19.0313191719328,16614967425.9231,66.4537362844902,255793910194.053,180391311212.35,75402598981.7026,319952111160.039,12.2470267612156,34.0919157733545,2.4,4.09375,44000000.0,345000000.0,251069957738.072,208631132083.208,233198824915.808,191850745019.986,83.822646765647,56.5758851542871,10.6361181903385,13.5298855068941,3.00170148374583,68.2170885757252,2.78511112544233,0.414132146702373,6.83563777395848,0.428847776379374,162208233857.0,75965984032.6675,4.08446106530774,6.11009291485934,8.08175321120022,6.91,7.03674008006551,72.3773942103355,4.67743376747936,3.88798993881518,164645000000.0,4.67617229993668,1.64943907627397,1.81172144651924,0.0282546148049584,163159354032.0,74944129066.1004
2016,THA,25.9570852704813,221222867634.415,177711416689.536,247113637300.848,20.8501306446518,522930325.084651,19.5719600408727,277273903172.05,213487498233.492,63786404938.5578,283737190551.596,70.2122392949693,45.7149338923838,1.9,3.12367,342000000.0,2000000.0,277248464807.286,278741214265.58,221168950937.551,227276891938.781,120.57522728913,99.0854723056637,6.83357247628395,12.553807307087,4.83644980245408,72.1682254117452,3.73072726470486,7.52053066177436,37.6133582400701,0.0010147801435917,191916151720.0,43193562862.7702,3.86298226222565,13.4665717636346,2.90326663511656,15.76,1.24765574675355,75.1640041611125,1.19789494768318,3.90146037231768,215388000000.0,32.8919768566654,0.587328575838017,3.17773574507921,0.0203026627110569,212991707617.0,63495515060.1498
2018,BLR,23.7278385487247,41338700000.0,35932600000.0,44668300000.0,19.7795083331792,1857100000.0,44.9966055668703,42267800000.0,33429800000.0,8838000000.0,43451100000.0,9.99434261145055,86.0281547043364,1.4,2.44,142000000.0,79000000.0,42294690637.257,37478313243.9962,41384800216.7247,38439241974.7816,139.393394375409,120.162567920209,10.174099196494,28.8617782999471,5.65247990517465,54.1204078551364,3.12541186046981,0.653795181911474,8.82408902605948,0.0005672049470406,38204885400.0,5399400000.0,2.82626305124843,14.9639092896645,25.1356889584766,0.75,0.618138099990926,52.4542359328423,1.09428113528576,1.01872658913076,33726000000.0,3.23083080267194,18.5126810898551,2.52417746530641,0.006147808923786,33044293100.0,8816800000.0
2022,IND,14.4988763260928,902304020924.927,725459576902.129,971191396005.852,14.6351379060912,144798242741.809,74.4534445174777,767643055702.076,458271959749.315,309371095952.76,794821399183.285,6.90442883672712,35.7697222884018,17.3,3.2,2582000000.0,7000000.0,778021514754.531,676583074238.014,897550749081.828,725740904230.25,49.9653199690324,35.004214323338,4.68745287929006,37.8444037124818,4.67948199184832,44.645900085283,5.97837026220039,26.1383690890435,22.8798717734511,0.0307431211167961,731842092883.999,175865842289.719,0.942789378851202,11.137448574541,21.7524651912837,2.77,3.46459546951557,62.331564351398,3.72613048820678,14.7875206130381,453415000000.0,10.5693721315479,2.61358362623256,4.58197536924019,0.0420122368784381,450320580519.0,308672880014.035
