year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
2011,MIC,156388494523.736,46058091832.9887,651721133925.781,14732263192.9568,265054485617.128,322228072852.48,9361552405558.95,46.0045272479699,14823.0,9514861242479.42,47.2650364303992,21.37,8.23272511070591,97.5869348242755,70.8727843467748,20.4329603058069,16.4883409878178,70.8905463736011,99.4024162462883,5.801455370853,12.2192178993754,31.15,51.54,38.46,48.26,46.29,36.67,54.11,33.28,43.33,-4618770.0
2011,NGA,816759862.410243,75506157.7661904,8841062050.77261,2570808286.61955,20436320974.7716,20616772500.8206,39028390000.0,9.41653266274502,196.0,3871930000.0,0.934195730668427,11.94,6.32874806670587,27.1031621215201,11.0321388749083,18.0858733078129,3.53184194734956,11.0436296114106,22.4790459818829,10.8261371880017,1.22403934069896,13.96,40.13,25.99,33.28,33.81,12.21,44.14,21.48,29.67,67808.0
2011,PAK,62000000.0,28000000.0,1326000000.0,25000000.0,12235000000.0,12263000000.0,32567930000.0,14.1239485187444,621.0,9637900000.0,4.17973151590558,4.72,8.08496944044884,24.6120130321689,16.7029845091337,11.6512100418024,4.15696352930242,16.7900431014259,44.5540838769731,11.9160927116277,20.1755720429126,4.81,13.94,2.95,17.28,11.45,3.75,24.46,7.95,10.31,-890633.0
2011,POL,4781000000.0,1416000000.0,18851000000.0,3110000000.0,3887000000.0,7768000000.0,138244230000.0,26.1901319662927,757.0,73064170000.0,13.8418815331942,53.86,32.5650241609073,479.25953488303,51.4819989321807,13.5222847027512,4.38728143721106,51.483789287918,56.3641072039439,4.2394014962594,7.77270155089566,62.18,75.53,68.29,72.37,75.51,34.72,81.4,47.83,70.19,45951.0
2011,PSE,-238545633.884464,47915108.2381685,238840690.55525,-677336.498687282,405154287.452352,1141713035.89829,2782470000.0,24.8743529916593,45.0,302470000.0,2.70398083335568,16.72,10.8347942543619,100.341740067957,22.9531168861355,14.7422337182796,1.02737618447542,22.9577173636924,56.6924324955972,2.8772435849594,5.94428906857618,7.99,26.93,10.19,28.67,25.62,12.78,22.08,8.68,19.43,-26662.0
2011,SAS,13028566136.9307,5523767734.61771,40646167618.1236,-4142156218.33221,93784503327.4572,96395627272.8421,1344303104109.59,59.7468264729624,6438.0,757319374634.71,33.6586511796255,6.035,8.03414187928829,24.6120130321689,46.3554566878377,14.8701560621674,6.01891275113273,46.3825690165006,72.7337257685024,10.2502450334266,23.1856067083167,23.9,37.93,24.27,40.17,35.39,27.4,50.48,24.26,32.33,-2034318.0
2011,THA,7175768845.6,2921350000.0,2473685995.7,22895120.7,3529320000.0,5255620000.0,268488820000.0,72.4043289377754,545.0,215271140000.0,58.052929099133,87.31,11.1178851541289,245.975616026938,101.428972425595,21.0888538776388,7.74152006876014,101.452656388961,119.925707350888,3.80879058139634,11.3306802676968,64.53,78.06,72.64,72.7,75.44,63.84,91.05,59.34,72.67,66607.0
2011,TUR,2370000000.0,268000000.0,16182000000.0,-985000000.0,1168000000.0,1883000000.0,197074460000.0,23.4952212945715,263.0,361075930000.0,43.0474800209687,60.25,17.9504996057908,803.525769073457,46.1596915828407,12.8525517114557,4.01504832644044,46.1596915828407,50.6352349030026,6.471879671151,16.3800877315183,47.11,64.59,32.68,82.06,62.05,50.89,65.22,43.75,57.6,68849.0
2011,ZMB,-1400000.0,70413825.16,1108500000.0,24600000.0,46276750.72,46276750.72,3184470000.0,13.5743213898165,20.0,20500000.0,0.0873845847162129,7.03,3.98982111604323,22.7771692755518,10.0119687889206,17.1518702529195,3.19989697582887,10.0450008948228,19.1220235564735,6.4293968107234,7.17902354822773,8.77,29.66,23.34,19.39,25.8,9.21,32.22,12.82,21.36,13569.0
2014,BGD,41769923.686296,32521361.4348432,2539190939.6837,357721288.102773,14963574984.0944,14987531478.7427,68457910000.0,39.5969990649654,517.0,15809430000.0,9.14439229780221,5.77,8.50230517091057,76.9292968168833,43.5129671295367,10.6321815076282,5.58168526462511,43.7361238704853,63.3375540979273,6.99163889220849,14.4338836849165,23.03,36.29,26.45,35.37,35.44,24.9,37.21,20.83,30.99,-889222.0
