year,country,"Insurance and financial services (% of service imports, BoP)","Insurance and financial services (% of service exports, BoP)",Domestic credit to private sector (% of GDP),"New business density (new registrations per 1,000 people ages 15-64)",Firms using banks to finance working capital (% of firms) ,Firms using banks to finance investment (% of firms),Bribery incidence (% of firms experiencing at least one bribe payment request),Firms competing against unregistered firms (% of firms),Informal payments to public officials (% of firms),Losses due to theft and vandalism (% of annual sales for affected firms),Time required to obtain an operating license (days),Firms with female top manager (% of firms),Firms formally registered when operations started (% of firms),Firms visited or required meetings with tax officials (% of firms),Firms that spend on R&D (% of firms),Firms experiencing losses due to theft and vandalism (% of firms),Firms offering formal training (% of firms),Time spent dealing with the requirements of government regulations (% of senior management time),Firms expected to give gifts in meetings with tax officials (% of firms),Number of visits or required meetings with tax officials (average for affected firms),Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Logistics performance index: Overall (1=low to 5=high),Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),Logistics performance index: Ability to track and trace consignments (1=low to 5=high),ICT goods imports (% total goods imports),Merchandise imports (current US$),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),"Computer, communications and other services (% of commercial service imports)",Transport services (% of commercial service imports),Travel services (% of commercial service imports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),"Computer, communications and other services (% of commercial service exports)",Transport services (% of commercial service exports),Travel services (% of commercial service exports)
2010,ARG,3.947366553916,1.49577087198974,12.6901062454749,0.207357290089047,33.3,30.3,10.3,68.2,18.2,2.0,176.1,9.2,92.4,68.4,54.2,32.7,63.6,20.8,8.7,4.1,2.63,3.15,3.03,3.1,3.82,3.15,9.02,56793000000.0,43.4378454780995,18.1164810917322,0.500295955544609,38.4056777997023,0.339209717324439,1.12000992640523,0.278054733406298,38.4056777997023,35.4116929080344,25.8376626589977,34.7048606765941,41.0876355926798,25.4167463969592,6.69243458459011,2.39525974005936,2.2470242044166,31.3630377332529,43.331881341014,15.6519301546612,39.498424443444
2010,GTM,10.2976711112125,2.62638809303685,24.2180601037473,0.623718113507802,26.2,26.6,11.3,69.8,6.3,4.3,41.1,15.7,90.0,60.8,47.1,34.7,51.9,10.2,3.9,4.5,2.33,2.16,2.74,2.63,3.52,2.71,6.81,13838000000.0,59.6549534762373,10.203348585048,0.267322320597561,30.0889043674175,0.0221191430343937,1.16260769501644,0.358024111780712,30.0889043674175,17.6372560454745,45.9133026106419,25.8615100971845,56.9922557420698,3.32196000461627,0.67792361571537,1.02605855868101,0.28902001424384,38.9094117961702,39.30529330408,12.2022769942589,45.7492944933533
2010,GUY,9.01730527107372,10.9493917933065,24.51380230878,0.2519296967952,59.3,34.5,14.9,59.8,18.4,2.5,22.4,17.7,81.7,70.7,54.3,43.2,63.0,11.5,4.6,5.2,2.02,2.31,2.25,2.27,2.7,2.28,2.91,1397000000.0,69.1176127314089,9.60303580845061,0.34158887076907,14.0964202879278,0.0943979097667665,1.71358058588365,0.0919708672343454,14.0964202879278,38.9893445493444,30.6401395030558,21.3532106765261,82.6054548583916,4.41564169257618,0.0432820711856119,0.280290038493436,0.114496527080421,8.19138498746065,51.0575290107104,5.55786238515484,32.4352168108283
2010,HND,9.23544059008326,1.18554486875291,47.4622470777193,0.405597444636149,25.6,17.0,8.1,63.2,6.1,8.8,28.8,31.7,81.3,62.9,67.2,30.9,35.8,17.0,2.8,3.5,2.39,2.67,2.57,2.78,3.83,2.83,5.87,8907000000.0,56.4417485583088,10.5962269575939,0.362671669373491,32.8424160994061,0.0556483632707996,0.72696444165459,0.258200922525471,32.8424160994061,9.85060363676961,52.6484851112959,28.053920869988,68.4872302922193,3.21820371784089,0.0878030606797567,0.0708498344262525,0.0621569396682404,28.2424325263906,65.8624147201326,2.80098395205914,30.1328978447052
2010,JAM,10.9421478478309,1.5051171301702,26.40566482272,0.915277062106772,53.1,44.2,19.3,66.4,17.9,3.4,9.3,24.1,90.0,34.0,32.0,13.3,25.9,1.7,14.3,1.6,2.0,2.82,2.32,2.53,2.82,3.07,3.88,5225000000.0,67.6566786241823,7.13069070009,0.392966068221779,10.9026759665228,0.0122421698644212,0.563567853467437,0.0464621476870124,10.9026759665228,36.747531501488,41.0530635751929,10.8988086031372,93.1886391409081,3.96311710991871,0.0196239035939865,0.0505135408324113,0.0714401036164574,2.83141191593457,10.1632250644059,11.3519269164974,76.9602972221559
2010,MEX,15.7252719886457,10.1264771778869,22.3237750257634,0.629818615824027,26.9,16.2,17.6,70.3,11.6,3.6,54.0,14.6,84.7,38.1,38.7,40.3,50.8,13.6,10.4,3.0,2.55,2.83,3.04,3.05,3.66,3.28,19.23,310205000000.0,76.063614705369,20.4536257583738,0.22013616249302,3.27018467382804,0.150518759988932,0.721205314900995,0.313526909239815,3.27018467382804,28.7065882614052,32.7864049513668,22.505946572043,91.8865777484787,2.1810643321639,0.0966750615256057,0.352179073565334,0.0812924431572117,5.40735712086855,16.2532966013751,18.9004472895151,54.6398088366704
2010,PER,8.74268646062785,6.86706767537046,30.261687153432,3.27338895596092,49.9,45.9,15.9,68.6,21.4,2.8,46.5,14.1,82.6,62.6,68.2,23.6,60.1,14.1,8.4,2.7,2.5,2.75,2.61,2.8,3.38,2.89,7.5,30030000000.0,48.4497305515377,25.1439450413069,0.744701245078672,26.0844329899635,0.123529941111822,1.75721195297069,3.10480768246896,26.0844329899635,27.8318248600372,41.581483318007,21.6214016008324,69.3702463976714,18.4277792902238,0.272641771025846,0.646747757628228,0.715785320082725,10.7219043148493,1.46198935787817,27.2635612775362,64.0998931461195
2010,SLV,12.1220416179374,2.15159108825299,52.3104277458922,0.496185010245499,44.5,31.7,4.3,65.2,12.7,4.6,44.4,21.4,75.7,64.1,46.6,37.1,61.0,19.6,0.3,4.9,2.48,2.18,2.66,2.67,3.63,2.68,5.3,8416000000.0,50.3704606111044,13.4196765573099,0.174920908145952,34.606050160127,0.0446109430186217,0.686143720228224,0.603827738759185,34.606050160127,22.316068537349,44.2731251488929,20.7666235876304,58.547416817684,0.620985955336153,0.0611734282898294,0.114561707741584,0.0275039867458955,40.5582902529632,50.4276540956285,20.7685929445946,26.6049254896357
2010,URY,3.7779965729567,4.76888878692282,21.4040361151246,2.27219901118431,26.4,13.7,2.2,67.7,8.1,1.1,108.0,19.4,94.6,38.2,55.5,38.1,48.6,11.6,1.8,2.6,2.71,2.77,2.59,2.75,3.06,2.78,5.64,8622000000.0,31.5765852454435,21.1099192776837,0.579679406453588,39.56128138057,1.15064664787991,0.950015091692593,3.92923836260059,39.56128138057,21.7415882425731,45.8124941629605,28.5100816028964,36.1996050031654,16.681655270859,3.47781221301825,0.39491900976635,2.42372755930752,42.7809363369,19.4612069285527,18.8476891553869,56.8602336783763
2012,CHN,8.00776364410521,2.5872202406452,128.922639036534,3.81285584862301,22.1,14.7,11.6,57.7,10.7,0.5,27.5,17.5,95.8,59.4,42.9,3.9,79.2,0.9,10.9,2.1,3.25,3.46,3.47,3.52,3.8,3.52,19.56,1818405000000.0,70.6536188508644,17.9302393964573,1.92748452136944,5.28932836098102,3.15839855181416,1.36848255906818,6.18654540322448,10.5437777486903,24.9397556107951,30.6363771106127,36.3863828398526,75.5722944929562,15.6740497699346,2.23857588112789,3.44637731490507,3.11276513896699,8.297125322993,53.0597461580383,19.3992854021736,24.9409782849041
